direction,effector,elasticity,reaction,type
reverse,EX_12dgr180_m,0.9186488173622998,EX_12dgr180_m,exchanges
forward,EX_12dgr180_m,0.20907310097530996,EX_13ppd_m,exchanges
forward,EX_12dgr180_m,0.2431472396488754,EX_26dap_M_m,exchanges
forward,EX_12dgr180_m,0.27844874434922673,EX_3mop_m,exchanges
reverse,EX_12dgr180_m,-0.0003312942426969556,EX_4abz_m,exchanges
forward,EX_12dgr180_m,0.22829080728199003,EX_Lcyst_m,exchanges
zero,EX_12dgr180_m,0.0,EX_ac_m,exchanges
forward,EX_12dgr180_m,0.2592338800778293,EX_acald_m,exchanges
forward,EX_12dgr180_m,0.23424257247394387,EX_acgam_m,exchanges
forward,EX_12dgr180_m,0.26247741742682074,EX_adn_m,exchanges
zero,EX_12dgr180_m,0.0,EX_adocbl_m,exchanges
zero,EX_12dgr180_m,0.0,EX_ala_D_m,exchanges
zero,EX_12dgr180_m,0.0,EX_ala_L_m,exchanges
zero,EX_12dgr180_m,0.0,EX_alaasp_m,exchanges
zero,EX_12dgr180_m,0.0,EX_alagln_m,exchanges
zero,EX_12dgr180_m,0.0,EX_alaglu_m,exchanges
forward,EX_12dgr180_m,0.2661336535021963,EX_alagly_m,exchanges
forward,EX_12dgr180_m,0.27860682585470364,EX_alahis_m,exchanges
zero,EX_12dgr180_m,0.0,EX_alaleu_m,exchanges
forward,EX_12dgr180_m,0.25793279549628956,EX_alathr_m,exchanges
forward,EX_12dgr180_m,0.24376035679010144,EX_amp_m,exchanges
forward,EX_12dgr180_m,0.2364042441139258,EX_arab_L_m,exchanges
forward,EX_12dgr180_m,0.23761448070867885,EX_arabttr_m,exchanges
zero,EX_12dgr180_m,0.0,EX_arbt_m,exchanges
zero,EX_12dgr180_m,0.0,EX_arg_L_m,exchanges
zero,EX_12dgr180_m,0.0,EX_arsenb_m,exchanges
forward,EX_12dgr180_m,0.2709336531301254,EX_asn_L_m,exchanges
zero,EX_12dgr180_m,0.0006943359550426464,EX_asp_L_m,exchanges
zero,EX_12dgr180_m,5.599023369384781e-05,EX_btn_m,exchanges
zero,EX_12dgr180_m,0.00015738181009083974,EX_butso3_m,exchanges
zero,EX_12dgr180_m,0.00047991668342461935,EX_ca2_m,exchanges
forward,EX_12dgr180_m,0.269306224966277,EX_cbl1_m,exchanges
forward,EX_12dgr180_m,0.26718122458139426,EX_cbl2_m,exchanges
forward,EX_12dgr180_m,0.2643257785565112,EX_cd2_m,exchanges
zero,EX_12dgr180_m,0.0,EX_cellb_m,exchanges
zero,EX_12dgr180_m,3.567030237405788e-05,EX_cgly_m,exchanges
zero,EX_12dgr180_m,0.0,EX_chol_m,exchanges
zero,EX_12dgr180_m,0.0,EX_chols_m,exchanges
zero,EX_12dgr180_m,0.0,EX_cl_m,exchanges
forward,EX_12dgr180_m,0.27070723784921924,EX_co2_m,exchanges
forward,EX_12dgr180_m,0.26943968113267047,EX_cobalt2_m,exchanges
zero,EX_12dgr180_m,0.0006949770587993953,EX_crn_m,exchanges
forward,EX_12dgr180_m,0.2641478734824787,EX_cro4_m,exchanges
forward,EX_12dgr180_m,0.24229979183195915,EX_ctbt_m,exchanges
forward,EX_12dgr180_m,0.28326274964629583,EX_cu2_m,exchanges
zero,EX_12dgr180_m,0.0,EX_cys_L_m,exchanges
forward,EX_12dgr180_m,0.27386314247635823,EX_cytd_m,exchanges
forward,EX_12dgr180_m,0.2598087658916537,EX_dad_2_m,exchanges
forward,EX_12dgr180_m,0.2777845938323331,EX_dcyt_m,exchanges
forward,EX_12dgr180_m,0.2776874371441185,EX_dgsn_m,exchanges
zero,EX_12dgr180_m,0.0,EX_din_m,exchanges
zero,EX_12dgr180_m,0.0,EX_drib_m,exchanges
zero,EX_12dgr180_m,0.0,EX_duri_m,exchanges
zero,EX_12dgr180_m,0.0,EX_ethso3_m,exchanges
zero,EX_12dgr180_m,0.0,EX_etoh_m,exchanges
zero,EX_12dgr180_m,0.0,EX_fe2_m,exchanges
zero,EX_12dgr180_m,0.0,EX_fe3_m,exchanges
zero,EX_12dgr180_m,0.0,EX_fol_m,exchanges
reverse,EX_12dgr180_m,-0.0023750732027494337,EX_for_m,exchanges
reverse,EX_12dgr180_m,-0.0025543555482521185,EX_fru_m,exchanges
reverse,EX_12dgr180_m,-0.0012639023939975402,EX_gal_m,exchanges
zero,EX_12dgr180_m,0.0,EX_galt_m,exchanges
forward,EX_12dgr180_m,0.2611351809767992,EX_gam_m,exchanges
forward,EX_12dgr180_m,0.04741609962533033,EX_gbbtn_m,exchanges
zero,EX_12dgr180_m,0.0,EX_gcald_m,exchanges
reverse,EX_12dgr180_m,-0.0011963474626419668,EX_glc_D_m,exchanges
zero,EX_12dgr180_m,0.0,EX_gln_L_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glu_L_m,exchanges
zero,EX_12dgr180_m,0.0,EX_gly_m,exchanges
reverse,EX_12dgr180_m,-0.0013333667137604976,EX_glyasn_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glyasp_m,exchanges
forward,EX_12dgr180_m,0.2720263498258202,EX_glyb_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glyc_m,exchanges
zero,EX_12dgr180_m,0.0,EX_glyc3p_m,exchanges
