,Alistipes,Anaerostipes,Bacteroides,Barnesiella,Bifidobacterium,Blautia,Butyrivibrio,Clostridium,Coprococcus,Eubacterium,Faecalibacterium,Faecalitalea,Haemophilus,Lachnoclostridium,Lactobacillus,Odoribacter,Parabacteroides,Prevotella,Roseburia,Ruminiclostridium,Ruminococcus,community,Campylobacter,Streptococcus,Tannerella,Veillonella,Adlercreutzia,Enterococcus,Akkermansia,Lactococcus,Methanobrevibacter,Methanomassiliicoccus,Eggerthella,Escherichia,Filifactor,Megasphaera,Acidaminococcus,Porphyromonas,Mycoplasma,Aggregatibacter,Fusobacterium,Megamonas,Brachyspira,Finegoldia,Methanosphaera,Parvimonas,Cellulosilyticum,Leptotrichia,Peptoniphilus,Staphylococcus,Desulfovibrio,Gordonibacter,Citrobacter,Bacillus,Rothia,Selenomonas,Actinomyces,Olsenella,Raoultella,Mobiluncus,Corynebacterium,Slackia,Paenibacillus,Propionibacterium,Arcobacter,Enterobacter,Klebsiella,Morganella,Pseudomonas,Serratia,Cronobacter,Yersinia,Hafnia,Trueperella,Aeromonas,Leuconostoc,Pediococcus,Atopobium,Anaerococcus
ERR321172,74.12230303224415,1.5566484537479884e-09,0.0,6.1456851459779275e-09,3.6240795865317855e-06,32.4846864332585,0.009487271626934806,1.0422253654905327,23.60705736167413,265.0865461383744,3.7396675462688145,1.924667050652059e-09,1.6114989446202412,11.180746534256265,4.835391980816788e-09,61.959582744078986,7.4594555296024785,240.5593529555351,1.6597845522669681e-09,0.020561227163206693,47.42520964528871,18.341314197575024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321168,43.44508513493325,4.060060285541467e-08,0.0,1.1260476261117797e-08,1.5582737903897128e-07,9.042571288186968,,2.7549395962614978,8.010426156083552,151.92373274063337,0.2492873646536635,0.0,,10.828205241563959,,49.77606250064579,4.405465918532258,13.03404289936256,4.373387578954428e-09,1.3239305741342069e-08,36.884274848559535,12.64927036681007,0.27124076037981837,10.608504587946351,4.069048507948082e-08,3.3336167504501883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321108,4.598017009646078,1.1802926744490334,2.7971715081201647,0.08638973649168818,0.1839228826652914,9.459676502706184,0.10421179063254887,0.24408653141075842,4.4220083329772955,92.91188279456253,4.791709291966833,2.3516156350553966e-08,,1.0841555447145597,0.002813675346324216,11.260581517524015,11.237206227626048,1.3922489838664045,1.5565257880249086,10.338685048037805,17.056507067249512,11.77779216998761,0.5463976780932658,1.0228520814522895,,,0.01009296787530644,0.7029654870731026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321144,0.7553978702596862,0.12991011714193199,5.733080142020062,0.013211374206773221,0.06541704349015758,1.0278042766740048,0.026115209015935923,0.1929614875261446,0.6496742929793534,30.262388850374975,0.6018527831383498,1.3813333938944593e-08,0.194629610737393,0.20342114535218817,0.009000897531190736,1.1605155764359876,1.6095866869555653,0.017855728741473332,0.4967852025669263,0.22631042248232072,2.085422380457571,12.016221976914837,0.011236560139066173,0.8995513871377075,,0.08192063098503091,,,5.7156414966930843e-08,0.009592087914916985,0.09341475388915012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321150,2.0532398794413282,4.357474863103861e-07,0.0,2.822348344430709e-07,0.1189467362191126,1.0760403513236148,0.01586595801904633,0.3192214289179387,2.4658768087600453,47.933372414935995,1.417242778491381,4.817192497902069e-07,0.9295649619101366,0.4063785070152245,,2.968692931401414,6.983500055715837,0.19091240725082573,6.028138927137999e-07,15.095065979028735,2.1321853297958344,11.629580132029616,,0.3463743875643567,0.002611617753465843,0.1266262274412405,,0.04157255932579631,,,,2.573021409987961e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321148,3.6232152270568614,0.970625926989114,3.673534969369328,0.49460006595024686,0.2462181229013115,9.20115337767414,0.04484743979587521,0.2966577727962141,5.041292981150328,72.84385442834545,7.604157998928247,6.119176417793026e-08,0.39003758388293025,3.9446880936793156,,15.673097157969602,0.417439058114704,0.21506777112008793,0.7405281181089309,1.7519230798522423,9.530817143233909,11.523727280408092,0.4120993172180523,0.4341617061611242,0.008822904769892613,0.38496115477630044,,0.27738361888350055,0.0,,,,0.11464527348433012,1.2036873471632163,1.7152546904488822e-08,0.0064477162128383485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321188,5.9048425294128934,0.47208003275724747,2.655197058572987,0.1541777353677696,0.07100106597747019,1.7353831639199366,0.02486996162677017,0.07154216328700604,4.47653804476676,62.739269399903804,2.0716312576508322,1.639797044485165e-08,,1.0028264035732248,,3.2210661146855677,7.966599813907303,4.370412648699767,0.294158388139889,2.416210055705233,6.861002170624411,15.507000643583392,0.18736404855518882,0.12845994392140506,0.008581250669818572,,,0.5926452313826368,4.637988269088504e-08,,0.03384795534462711,,,,2.526646137601938e-08,,8.167634988517095,0.07115631270626692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321182,15.173636860304079,0.6129414927509438,5.280618570321953,0.020176979247066653,0.4092179914347224,2.2122486533240906,0.019567166863438647,0.10572363587804355,6.023555835398382,45.093044046890725,3.0913499127487425,2.658028893443384e-08,0.1249260054139133,0.3565003489241727,0.004657309676316273,1.9409832129338822,0.07342522267444689,0.1340028430636926,0.614798005532423,4.514631419682592,1.8937524125075176,12.464381295096835,0.035679986540642764,0.1558384110068206,,,0.009614277217884312,0.15565964043018707,2.1698391412086105e-09,,0.32623386371497265,,0.03308495122871335,1.4926825057935005,,,,,0.02203318678076665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321208,12.99572775503213,1.7835593857607714,1.0396041106477414,0.12479195589626112,0.3512423772706257,14.614750564804966,0.14420436367852799,1.4863957995226078,9.094941814607411,107.4508211236459,13.12967530147356,1.6023978657012277e-08,,2.0219764714419775,,30.950029305023925,36.62537436214898,0.27935602083534494,3.865009610687266,0.37926940778156315,10.248806657693128,11.535573293394897,0.17133716325167625,0.918311965494025,,,,,1.064290667790602e-07,0.11044112908468295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321221,0.4642737820213071,0.7795303808123464,4.644768718003766,0.050428859011776184,0.09972831896681773,4.530553038875863,,0.16089936331553018,1.297601287346887,45.55350873258778,1.390342592537938,2.122622410728839e-08,7.708083152508553,0.18943498350495688,0.014296703541911324,1.008857631251477,0.5997215233455084,0.2964970530773956,2.798614470397844,0.05660831608917817,9.052450998658765,11.88730971636746,0.050935270742294876,1.1528251112871524,,5.28095551131893,,,,,,,,,,,,,,0.017282908039337363,3.8449940848994356e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
