,EX_12dgr180_m,EX_26dap_M_m,EX_acgam_m,EX_acmana_m,EX_acnam_m,EX_adn_m,EX_ala_D_m,EX_ala_L_m,EX_amp_m,EX_amylopect900_m,EX_amylose300_m,EX_arabinan101_m,EX_arabinogal_m,EX_arg_L_m,EX_asn_L_m,EX_asp_L_m,EX_ca2_m,EX_cellul_m,EX_cgly_m,EX_cl_m,EX_co2_m,EX_cobalt2_m,EX_cu2_m,EX_cytd_m,EX_dad_2_m,EX_dcyt_m,EX_dextran40_m,EX_dgsn_m,EX_fe2_m,EX_fe3_m,EX_fol_m,EX_galmannan_m,EX_gam_m,EX_glcmannan_m,EX_gln_L_m,EX_glu_L_m,EX_glyc3p_m,EX_gsn_m,EX_gthox_m,EX_h2o_m,EX_h2s_m,EX_h_m,EX_his_L_m,EX_homogal_m,EX_ile_L_m,EX_indole_m,EX_k_m,EX_leu_L_m,EX_levan1000_m,EX_lichn_m,EX_lys_L_m,EX_met_L_m,EX_metsox_S_L_m,EX_mg2_m,EX_mn2_m,EX_mqn7_m,EX_nac_m,EX_nmn_m,EX_o2_m,EX_ocdcea_m,EX_orn_m,EX_pect_m,EX_phe_L_m,EX_pheme_m,EX_pi_m,EX_pnto_R_m,EX_pro_L_m,EX_ptrc_m,EX_pullulan1200_m,EX_pydam_m,EX_pydx_m,EX_pydxn_m,EX_rhamnogalurI_m,EX_sheme_m,EX_so4_m,EX_spmd_m,EX_starch1200_m,EX_thm_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_ura_m,EX_val_L_m,EX_xan_m,EX_xylan_m,EX_xyluglc_m,EX_zn2_m,EX_bglc_m,EX_gcald_m,EX_tsul_m,EX_cys_L_m,EX_so3_m,EX_2dmmq8_m,EX_fum_m,EX_q8_m,EX_12ppd_S_m,EX_13ppd_m,EX_2hyoxplac_m,EX_2mbut_m,EX_2obut_m,EX_3mop_m,EX_4abz_m,EX_4hbz_m,EX_4hoxpacd_m,EX_4hphac_m,EX_ac_m,EX_acac_m,EX_acald_m,EX_actn_R_m,EX_ade_m,EX_akg_m,EX_arab_D_m,EX_bhb_m,EX_btoh_m,EX_but_m,EX_chor_m,EX_cit_m,EX_csn_m,EX_ddca_m,EX_dhpppn_m,EX_diact_m,EX_etoh_m,EX_for_m,EX_fru_m,EX_gly_m,EX_glyc_m,EX_glyclt_m,EX_gua_m,EX_h2_m,EX_hdca_m,EX_hxan_m,EX_ins_m,EX_isobut_m,EX_isocapr_m,EX_isoval_m,EX_ispre_m,EX_lac_D_m,EX_lac_L_m,EX_mal_L_m,EX_meoh_m,EX_mnl_m,EX_mqn8_m,EX_ncam_m,EX_no2_m,EX_oaa_m,EX_ocdca_m,EX_oxa_m,EX_pac_m,EX_phppa_m,EX_phpyr_m,EX_ppa_m,EX_pppn_m,EX_pyr_m,EX_rbflvrd_m,EX_rib_D_m,EX_ribflv_m,EX_ser_L_m,EX_succ_m,EX_thymd_m,EX_ttdca_m,EX_uri_m,EX_xtsn_m,EX_2omfuc_m,EX_2omxyl_m,EX_3ddlhept_m,EX_acerA_m,EX_apio_D_m,EX_arabinoxyl_m,EX_inulin_m,EX_kdo_m,EX_lmn30_m,EX_rhamnogalurII_m,EX_strch1_m,EX_ch4_m,EX_fald_m,EX_malt_m,EX_glc_D_m,EX_kestopt_m,EX_lanost_m,EX_nh4_m,EX_inost_m,EX_urea_m,EX_arab_L_m,EX_ch4s_m,EX_alltn_m,EX_btd_RR_m,EX_glcn_m,EX_2ddglcn_m,EX_idon_L_m,EX_4abut_m,EX_xyl_D_m,EX_glutar_m,EX_malttr_m,EX_adocbl_m,EX_raffin_m,EX_cellb_m,EX_lcts_m,EX_melib_m,EX_sucr_m,EX_tre_m
ERR321376,1.3927978816191503e-05,1.0000000000291605,0.9999999309498755,0.9999999936571325,1.0000000211940339,0.9999999257830641,0.3429101208483921,0.3382698740068132,1.0000000934457307,1.5677024817697457e-05,4.7018575574354795e-05,0.00016627767586512466,2.190973071538298e-05,0.14999968860675306,0.22500006206943216,0.11046672799401894,0.024704762089022118,2.8211721277363348e-05,1.0000000070915598,0.024704110533511146,-6.735788202785387,0.024706376020757568,0.024704698134631758,0.9999999836073147,0.9999998561673875,0.9999997530534813,0.00017632296678132163,0.9999999724271819,0.040928477590545756,0.008482893283001456,0.026616551050401564,1.4092315465690828e-05,1.0000000761127106,3.288361661572734e-05,0.18000004975405798,0.18000030703832717,0.9999996400232568,0.9999999379996539,0.004201671123783473,-108.03649239360485,-1.4103734838607023,-7.552529138312066,0.1500000491959498,0.00012823427885858923,0.1500000714650622,0.05292998964945901,0.024706413077330056,0.15000000763162477,1.4099484298950928e-05,8.297532562749579e-05,0.14999990501279578,0.17999988104084533,1.0000000007681804,0.024705538488136104,0.02470473340456292,7.89420685613528e-06,-0.9507036743910587,0.999999998772666,-0.3081600148825775,1.805152621097662e-05,1.0000000411927346,3.3385098963094704e-05,0.5764989802146899,0.00887367508775222,0.8001874615506891,0.000161360683735166,0.17999993040404666,0.02376165614390712,1.1748487401077626e-05,0.016238026128501924,0.0032955977785265886,0.0051704053356752926,1.4492807591674112e-05,0.008873674058599913,0.024705126025280532,0.008873706116849444,1.1754899788219118e-05,0.008872686281814122,0.22500015167681514,0.0818201413868125,0.415988494781392,-1.2701649940213082,0.1799999556482922,-3.8482154466811225,3.205910937830604e-05,1.3147593361176543e-05,0.0247043269353458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321172,0.001985384670657331,1.0000000000626723,1.00000006401874,1.00000000617688,0.9999999940004412,1.0000002128210776,0.31153152364930176,0.3105966571722721,0.99999970129884,1.5659824014379852e-05,,,2.1868308573845903e-05,0.15000028636688426,0.2250000000210625,0.11458866563098669,0.024041075523775428,,0.9999998326398684,0.024040068647507757,-7.399029212052982,0.024039846551742693,0.02404111253379378,1.0000000074526316,0.9999999395474145,0.9999999265094379,,0.9999999513647849,0.028616527259043654,0.01946567930928335,0.038883591035501784,1.4118959696000365e-05,1.0000000519252876,,0.18000011220003126,0.17999999758814839,0.9999999267147295,1.000000207076912,0.0053416373631250316,-131.41605746991468,-1.064786706771711,-2.433950148347882,0.1500001160007663,,0.14999995693124063,0.0937108633556101,0.02404031800294714,0.1499998692919918,1.4097497012612236e-05,,0.15000000002798905,0.1799998993760694,1.0000000137535827,0.024040007253872182,0.02404111855981643,0.0007583482444028304,-0.951910272165451,0.999999998960779,-1.0425467266068116,,0.9999998125429059,,0.5898076770611753,0.01296123688276768,0.8015603773077961,0.012419208799920133,0.17999992116332852,0.09307888519907961,1.1738957569501104e-05,0.009756363480754385,0.0038064111289119146,0.010475387713284968,2.144546243105387e-05,0.012961233327259656,0.024041948247051075,0.012961250253756475,1.1754916526158702e-05,0.012961746307792161,0.22499999660915618,0.08181991851914625,0.368788172709018,-1.334939448710415,0.18000003104754975,-3.964203094708997,,9.142964113101279e-06,0.0240430255910819,1.6903108038097964e-06,-2.326524100605797e-06,-0.1762774504078844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321108,0.0005257278796954868,1.0000000000265417,1.000000005786959,1.0000000003253757,1.0000000024428064,0.9999999978437754,,,0.9999999922135361,1.5273882085585687e-05,,,,0.14999999425185662,0.22500000000663292,,0.024664200452756115,2.8211698755115135e-05,0.9999999997118347,0.02466419454913799,-4.526138188586396,0.02466418271612145,0.024664201408695262,1.0000000001386171,1.0000000066873138,1.0000000095625974,,0.9999999979077068,0.037045291405363466,0.012283120370567835,0.031012461836800148,1.1906725520434642e-05,1.0000000042669752,,0.18000000929921858,0.17999999994959837,1.0000000009222139,0.9999999990918486,0.00462021855029489,-117.59054075541952,,-12.164954663784144,0.14999999980728573,,0.14999999887462562,0.08672683651918865,0.02466423232541939,0.14999999873725758,1.41374754552009e-05,,0.14999999999392225,0.18000000059642027,0.9999999990668397,0.024664254692032123,0.02466420086945077,0.00046821805926092213,-0.9506862116986129,1.0000000000434257,-1.0736361254136195,4.0140934943576706e-05,0.9999999849066824,,0.5758034715025103,0.010337512361401102,0.7999367394542903,0.0024130804213750123,0.1800000008433475,0.05421472572025673,1.2091249723920718e-05,0.014180198432263279,0.003909022442162079,0.006574148416628255,1.4981703426116112e-05,0.01033751178778448,0.024664202753057883,0.010337512911351621,1.1748917569696166e-05,0.010337360738006498,0.22499999773099902,0.08182000283460422,0.4040638158307224,-1.3059730609820128,0.17999999853585075,-3.904881003400649,,1.453722004504834e-05,0.024664199534855682,1.81908038776576e-06,,-0.9636391674195663,0.5049394480857242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321190,0.0018932505294812815,1.0000000000115232,1.000000000245983,1.000000004008635,0.9999999960881361,0.9999999907598589,,,1.0000000309051513,1.5896062846274454e-05,4.703371337941704e-05,,2.3335209747058104e-05,0.14999998455069816,0.22499999889768374,,0.02463884482219748,2.8210662801978933e-05,0.9999999949664401,0.02463876878362334,-4.764973482990553,0.02463895353814518,0.024638847454686724,1.0000000047892523,1.0000000097496526,1.000000033642075,,0.999999992210916,0.0320144028313432,0.0172632704469601,0.03413138754880148,1.4121223437524328e-05,1.000000002461726,3.282435211525492e-05,0.18000000227462207,0.17999999334174477,1.0000000393280186,0.9999999640178252,0.004279003489631213,-112.28355761206569,,-27.113107148148313,0.1499999825845406,,0.15000000155703969,0.08060852947798476,0.024638927974157218,0.15000000013935355,1.4224999950646868e-05,,0.15000001165658852,0.18000000964757937,0.999999995194325,0.024638760106281334,0.024638845621793852,0.0037344407107267074,-0.9507673561041483,1.0000000001102085,-1.0406213995305116,,1.0000000080474751,3.3396214932450733e-05,0.5720626671366176,0.011376989717147085,0.7996056876796456,0.0040006328987388035,0.18000000288098814,0.06381974428908546,1.2062063355500022e-05,0.010655430571731126,0.004465269323994438,0.009518151219870133,1.4369099296842236e-05,0.011376989994086255,0.024638842791753848,0.011376995345997487,1.175372220005665e-05,0.011376961426746301,0.22499998499810592,0.08182000304814217,0.3967654215784485,-1.3326777269304992,0.1799999978414841,-3.950696203743397,3.155090595283224e-05,1.361515737576454e-05,0.024638855196895355,1.5111647428663125e-06,,-0.7934318154149276,0.15237459325517141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321208,0.0016142751301454514,1.0000000000210223,0.9999998745024384,0.9999999782115457,0.9999999675433042,0.9999999028082154,0.47755937308206614,0.4735004507276089,1.0000001201339457,1.4042228005083068e-05,4.617114075777365e-05,,2.513018649040554e-05,0.1500001455960258,0.22500000004941637,0.124891501943206,0.024280102414103524,2.8211198153417423e-05,1.0000001982957767,0.024279638931651817,-6.744875996335619,0.024280286497807394,0.02428024261383691,0.999999973158285,1.0000001975246793,1.0000004498761799,,1.0000000482014804,0.03694687028533741,0.011616093565273959,0.029116607183712447,1.4378224634104402e-05,0.999999999895556,3.297803080199827e-05,0.17999992939283252,0.17999999987319804,0.9999999370048029,0.999999848190447,0.00429097868141898,-100.0300748764579,-1.0883972163884166,-4.045624758129078,0.1499997389380346,,0.1500000909711818,0.04355867044397759,0.024280932317967803,0.149999937984068,1.3900068833143838e-05,8.297621781595376e-05,0.14999985141866481,0.17999992306965132,1.000000012169963,0.024280455335705078,0.024280185353986204,0.0017333918122282039,-0.9512520802299722,1.0000000008362202,-0.6136663677673511,5.834922024970996e-05,0.9999998798522591,3.3725749674170974e-05,0.5863086245346916,0.0097065782539945,0.8019362256414836,0.005213766217042808,0.18000001749578848,0.10104368448521504,,0.011858976442713139,0.004378587159082743,0.008040046754704154,1.4888164141087954e-05,0.009706577975468195,0.024279879506931206,0.009706556772402416,1.1754058906496212e-05,0.009698484942686277,0.2249999997889918,0.08182000035279201,0.37666651042529964,-1.2737889507339761,0.18000008827928776,-3.852344219217123,3.4043316455828114e-05,1.1886561253054733e-05,0.024278920493202696,8.160281177301995e-06,,-0.15503783132481774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321221,0.001081076810076941,1.0000000004349991,0.9999999989806913,0.9999999978081876,0.9999999992535846,0.9999999953200785,,,1.000000001459137,1.5451189767973598e-05,,,2.1496118353646086e-05,0.14999999698259375,0.22500000002856851,,0.024606219877931164,2.8212506867053958e-05,0.9999999991116054,0.024606227291747333,-3.9689188845232772,0.024606204084579125,0.024606218821585264,0.9225504815703981,0.9999999983845618,0.9999999989327849,,0.9999999922771062,0.035002671821257506,0.01421000227185037,0.03389380810556979,1.42896950717657e-05,0.9999999967399988,,0.17999998681520044,,1.0000000020709088,0.9059077150600408,0.00442369808845496,-117.8483815678977,-1.0955471400087564,-42.43100783422442,0.14999999714199808,,0.1499999994748168,0.09420866467002553,0.024606194809165163,0.14999999794482996,1.4120820116298876e-05,,0.15000000006251465,0.17999999210115658,0.9346117838477859,0.02460621059500198,0.024606219554409513,0.002131677968204486,-0.9507843127938378,1.00000000004323,-2.3821460458530996,2.059125988989342e-05,0.9999999959309346,,0.573556643955449,0.011297820045621547,0.8001515274468838,0.003280562447297669,0.179999993683168,0.4786989122950163,1.1731286876496582e-05,0.012322610243770288,0.004238909855522263,0.00804424190547352,1.496509722486525e-05,0.011297820293476517,0.02460622485712005,0.011297927709795532,1.1752028053611113e-05,0.011297456086128099,,0.08182000058646785,0.4101587162753413,-1.2552310337084083,0.17999999696416183,-3.8498928411545705,3.2479152610394365e-05,1.3050901780189156e-05,0.024606222859479995,2.3761289147515423e-06,,-0.13547976222795455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321168,0.0005689804610169002,1.000000000020726,0.9999999195657865,0.9999999863156287,0.9999999074848771,0.9999999847565882,0.09291429594413914,0.093740810665974,1.0000007280573473,1.5542404504050475e-05,4.70885492542893e-05,,2.1333570239925077e-05,0.14999987588932975,0.22500000007532828,0.07027717081627784,0.023181706128289493,2.821164507532986e-05,0.9999998778188113,0.023179311114279063,-5.437078663479776,0.023181928682618917,0.023181665815472235,1.0000001366072349,0.9999996204583237,1.0000003121089929,,0.999999913894891,0.02743733404164896,0.018926150496370694,0.036322043369251315,1.4072107609348405e-05,1.0000000112477476,3.291228668724225e-05,0.18000009019818952,0.17999999725260957,0.9999998254297799,0.9999998758142336,0.004864805033498884,-118.64008428536819,,-62.37487930930503,0.15000019260806222,,0.14999991216087918,0.090009874902365,0.023182557620197792,0.14999995986079429,1.41148194445844e-05,,0.15000000002508868,0.18000003539387127,0.9999999600125734,0.02318137686161875,0.023181676108803992,0.00021731125933030875,-0.9535383574064814,1.000000001590331,-1.672221561534883,,0.9999999305716745,3.3355343731932296e-05,0.5934983093524762,0.012107357810133088,0.8021973607731766,0.002254816129827055,0.18000001792745907,0.09679871833539186,1.1593276951221555e-05,0.012859745953895564,0.002950132777877104,0.007370346078974495,1.465454499918847e-05,0.012107359740322158,0.023182205413357852,0.012107366941297062,1.1767634932667946e-05,0.012106123110311064,0.2249999957245126,0.08182004036074941,0.3403730360183619,-1.2841469165954518,0.17999999667351393,-3.909198968568652,3.188625709556616e-05,1.31129460916029e-05,0.023183464189016664,2.8769507196684447e-06,,-1.2011204221268337,0.9999999911140535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321393,0.035843748193682703,0.9999999999996102,1.0000000478089106,1.0000000111477436,1.0000000021332016,0.9999999650897614,,,1.0000001585332057,1.5869992984643845e-05,4.6133364103913944e-05,,2.2046845775854736e-05,0.14999981223538278,0.22499998028121826,,0.02124851015819949,2.8211737238152547e-05,1.0000000061843977,0.021248533639462226,-6.7347095135538195,0.02124848401168489,0.021248503843799154,0.9999999853259126,1.0000000184215219,0.9999999196271626,,0.9999999925089146,0.0278111802608363,0.014656274220901492,0.05465844311647379,0.0002997835254854931,1.0000000291615256,3.199437423210029e-05,0.18000000113742676,0.18000000549001013,0.9999999773502355,1.0000000136908092,0.005458481662283999,-157.27700907745378,,-1.800816875389063,0.15000007424176257,,0.1500000074095148,0.10332082829654296,0.021249356125386087,0.14999999965707597,1.4103890601463459e-05,8.29806016835086e-05,0.14999995674261277,0.17999998854361748,0.9999999948626184,0.021248318614768065,0.021248506444836664,0.013691096628685678,-0.9574086803694856,0.9999999999939794,-1.631596238292634,,0.9999999062158121,3.335558257145084e-05,0.6087079100893314,0.018219490171350355,0.8020789003714313,0.024169498563622695,0.1800000237608375,0.028394443787400407,,0.004153096457608104,0.004324938126266087,0.012770436700049122,1.2442198645687658e-05,0.018219485269802996,0.02124862039138829,0.01821949662029788,1.1754964841284877e-05,0.018219738040186954,0.22500003500387722,0.08182001070006041,0.34909318654005916,-1.4143715583752907,0.18000004236623982,-4.070655865477269,2.9534926210121663e-05,1.3097606973271381e-05,0.02124868910569086,-2.094963385931161e-06,,-1.143723767771255,0.8895157598440853,-0.012637933279348403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321358,0.00017404692251148904,1.0000000000846399,0.9999999922516343,0.9999999975746887,0.9999999974142105,1.0000000029797573,0.17494669350289996,0.17515146539600088,1.0000000021857696,1.5440162536676502e-05,4.706308481366646e-05,,2.1899594442322492e-05,0.15000002611637744,0.22500000004907367,0.09150527725550295,0.024531528847278213,2.821160182922455e-05,1.00000002911316,0.024531541326751016,-5.880355756838576,0.024531437714148653,0.024531530514378685,0.999999996847348,0.9999999817453604,1.0000000029234963,,1.000000002946516,0.03937958069123662,0.009683438008103779,0.029955309378026138,1.4096865782427953e-05,0.9999999952068688,3.2840076637123924e-05,0.17999995699147778,0.17999999981599418,0.9999999812314306,0.9999999977354442,0.004607183272055558,-115.70589804243993,-1.258411623502112,-11.480980007977115,0.15000002970997517,,0.15000000366852326,0.09490936654247902,0.024531684345648078,0.15000001182859676,1.4103541151002092e-05,,0.14999999485864515,0.18000001256218687,0.9999999923311422,0.024531626829756986,0.02453152423948107,0.00021592770921710945,-0.9509165074369472,1.0000000000929412,-1.1475121473906595,,1.0000000167648604,3.339095053846585e-05,0.5760755631512892,0.009985464537461644,0.8001086360787227,0.0006717977829265878,0.180000003080733,0.10539539654389984,1.173825500084532e-05,0.01484819828927637,0.0037253464227317437,0.005957749035001956,1.4408075563084422e-05,0.009985465910482426,0.024531498796927762,0.009985469877553103,1.1754902468859212e-05,0.009985673293175639,0.22499999976167376,0.08181999309851642,0.41581938632086285,-1.2971157089803387,0.17999999205847947,-3.8882501559047933,3.207602452003399e-05,1.3084021985129246e-05,0.02453150550030474,1.441895822490301e-06,,-0.08025389113870077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR321243,0.0005301122373363463,1.000000000327851,0.9999999784548492,0.9999997658722695,1.0000001203796391,0.9999995432327007,,,1.0000003398038617,1.4623941008501764e-05,4.6899087851860036e-05,,1.7791295184883233e-05,0.15000150711131613,0.22500000063906214,,0.024185085079953938,2.8210532019837513e-05,1.0000000586142024,0.02418172722413183,-6.206193313524823,0.024185204087674,0.024184973002367993,0.24765970376993707,1.0000007413866996,0.999999767909347,,0.9999999967724834,0.028076752609954174,0.020301674075587736,0.057150884398632265,1.3990875318489008e-05,1.000000081785252,3.282259614992975e-05,0.18000047136167802,,0.9999998556697025,0.14730504559387966,0.009234739126133757,-206.01000438419962,-0.04770014912678296,-1.698122444480338,0.1500009127110547,,0.14999968086794835,0.07670641074393941,0.024182183286135892,0.15000001798222312,1.4083616379851765e-05,,0.15000000064801897,0.17999977872470252,0.9321436761768639,0.024182536959586394,0.024185078249156534,0.000202395591485567,-0.9521711517915941,0.9999999974756388,-0.6515833765200377,,1.0000003465315799,3.3506560571221895e-05,0.5616646717145889,0.019069564974647093,0.8022097199988164,0.005472511929506494,0.17999989274807154,0.058676933168942416,,0.004114494279328988,0.005520436782670821,0.014543571757015001,1.4468491788951921e-05,0.01906963397742336,0.024185726034420655,0.01905238839150402,1.175530778812489e-05,0.019070833682578132,,0.08182005634226816,0.3668661176258853,-0.7867851008725235,0.17999998941944534,-3.392298441838012,3.242316188057376e-05,1.2884651982034639e-05,0.02418472550611144,1.3158562137069615e-05,,-0.6969792413558539,,,1.7113000654437527e-05,1.1233089470839482e-06,1.7247971360852003e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
