study_accession,sample_accession,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,fastq_ftp,fastq_galaxy,submitted_ftp,submitted_galaxy,sra_ftp,sra_galaxy,cram_index_ftp,cram_index_galaxy
PRJEB2054,SAMEA728920,ERS006534,ERX004046,ERR011087,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011087/ERR011087_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0001_081026_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0001_081026_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0001_081026_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0001_081026_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011087/col/X/md5,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011087/col/X/md5,,
PRJEB2054,SAMEA728920,ERS006534,ERX004047,ERR011088,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011088/ERR011088_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0001_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0001_081123_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0001_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0001_081123_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011088/col/ALTREAD/md/cur,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011088/col/ALTREAD/md/cur,,
PRJEB2054,SAMEA728635,ERS006553,ERX004048,ERR011089,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011089/ERR011089_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_081203_clear.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_081203_clear.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_081203_clear.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_081203_clear.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011089/col/QUALITY/md5,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011089/col/QUALITY/md5,,
PRJEB2054,SAMEA728635,ERS006553,ERX004049,ERR011090,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011090/ERR011090_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_081224.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_081224.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_081224.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_081224.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011090/col/READ/md/cur,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011090/col/READ/md/cur,,
PRJEB2054,SAMEA728635,ERS006553,ERX004050,ERR011091,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011091/ERR011091_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_090117.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_090117.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_090117.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0002_090117.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011091,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011091,,
PRJEB2054,SAMEA728854,ERS006586,ERX004051,ERR011092,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011092/ERR011092_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_081203.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_081203.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_081203.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_081203.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011092/col/NAME_FMT/idx2,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011092/col/NAME_FMT/idx2,,
PRJEB2054,SAMEA728854,ERS006586,ERX004052,ERR011093,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011093/ERR011093_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_081224.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_081224.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_081224.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_081224.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011093/col/QUALITY/idx0,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011093/col/QUALITY/idx0,,
PRJEB2054,SAMEA728854,ERS006586,ERX004053,ERR011094,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011094/ERR011094_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_090107.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_090107.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_090107.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0003_090107.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011094/col/READ/md5,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011094/col/READ/md5,,
PRJEB2054,SAMEA728867,ERS006589,ERX004054,ERR011095,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011095/ERR011095_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0004_081026_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0004_081026_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0004_081026_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0004_081026_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011095/idx/skey.md5,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011095/idx/skey.md5,,
PRJEB2054,SAMEA728867,ERS006589,ERX004055,ERR011096,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011096/ERR011096_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0004_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0004_081123_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0004_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0004_081123_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011096/col/READ/md5,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011096/col/READ/md5,,
