name,taxid,reads,relative,contributors,coverage,rank,id,agora_id
Selenomonas ruminantium,971,125,1.04275095386686e-05,1,0.00306302,species,ERR260132,Selenomonas_ruminantium_AC2024
Parvimonas micra,33033,346,2.88633464030348e-05,1,0.0189268,species,ERR260132,Parvimonas_micra_ATCC_33270
Tannerella forsythia,28112,632,5.27214882275086e-05,1,0.0165167,species,ERR260132,Tannerella_forsythia_ATCC_43037
Candidatus Saccharibacteria oral taxon TM7x,1476577,98,8.1751674783162e-06,1,0.0123692,species,ERR260132,
Streptococcus pyogenes,1314,1587,0.000132387661102937,1,0.0759226,species,ERR260132,
Acidaminococcus fermentans,905,150,1.25130114464024e-05,1,0.00573018,species,ERR260132,Acidaminococcus_fermentans_DSM_20731
Slackia heliotrinireducens,84110,472,3.93742760180127e-05,1,0.0132725,species,ERR260132,
Streptococcus parasanguinis,1318,1057,8.81750206589819e-05,2,0.0434994,species,ERR260132,Streptococcus_parasanguinis_ATCC_903
butyrate-producing bacterium SM4/1,245012,3690,0.000307820081581498,1,0.105637,species,ERR260132,
Gordonibacter pamelaeae,471189,2350,0.00019603717932697,1,0.0579681,species,ERR260132,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378
Blautia obeum,40520,145642,0.0121494667538462,1,3.44968,species,ERR260132,Blautia_obeum_ATCC_29174|Ruminococcus_obeum_A2_162
Bifidobacterium catenulatum,1686,9460,0.000789153921886442,1,0.404871,species,ERR260132,Bifidobacterium_catenulatum_DSM_16992
Streptococcus sp. HSISM1,1316408,1128,9.40978460769457e-05,1,0.0430019,species,ERR260132,
Actinomyces odontolyticus,1660,1334,0.000111282381796672,1,0.0495938,species,ERR260132,Actinomyces_odontolyticus_ATCC_17982
Clostridium sp. SY8519,1042156,2387,0.000199123722150416,1,0.0749163,species,ERR260132,Clostridium_sp_SY8519
Bifidobacterium animalis,28025,301,2.51094429691141e-05,1,0.0136469,species,ERR260132,Bifidobacterium_animalis_lactis_AD011|Bifidobacterium_animalis_lactis_BB_12|Bifidobacterium_animalis_lactis_Bi_07|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219|Bifidobacterium_animalis_lactis_CNCM_I_2494|Bifidobacterium_animalis_lactis_DSM_10140|Bifidobacterium_animalis_lactis_V9
Streptococcus sp. HSISS3,1316412,356,2.96975471661282e-05,1,0.0132025,species,ERR260132,
[Clostridium] sordellii,1505,1393,0.000116204166298923,1,0.0347969,species,ERR260132,Clostridium_sordellii_ATCC_9714
Ornithobacterium rhinotracheale,28251,161,1.34306322858052e-05,1,0.00597573,species,ERR260132,
Bacteroides xylanisolvens,371601,31325,0.00261313389039036,1,0.466509,species,ERR260132,Bacteroides_ovatus_SD_CC_2a|Bacteroides_xylanisolvens_SD_CC_1b|Bacteroides_xylanisolvens_XB1A
Ruminococcus bicirculans,1160721,48741,0.00406597793939398,1,1.46132,species,ERR260132,Ruminococcus_bicirculans_80_3
Escherichia coli,562,6207,0.000517788413652129,2,0.106026,species,ERR260132,Escherichia_coli_O157_H7_str_Sakai|Escherichia_coli_SE11|Escherichia_coli_str_K_12_substr_MG1655|Escherichia_coli_UTI89_UPEC
Enterococcus faecium,1352,3472,0.00028963450494606,2,0.0987378,species,ERR260132,Enterococcus_faecium_TX1330
Bacteroides coprosuis,151276,79,6.59018602843857e-06,1,0.00235009,species,ERR260132,
Streptococcus sp. HSISS2,1316411,92,7.67464702046011e-06,1,0.00346815,species,ERR260132,
Prevotella denticola,28129,56,4.67152427332354e-06,1,0.00169663,species,ERR260132,Prevotella_denticola_DSM20614|Prevotella_denticola_F0289
